a 日
buqka 睶
buqmb 睛
buqmc 瞔
buqou 瞡
burb 睊
burhg 睈
burhu 眖
burmg 睈
burrd 矂
burse 睱
burvp 眠
busei 矚
bushb 瞩
bushr 眧
busj 眲
busk 眍
busmg 眶
busmg 矅
busp 眤
butbc 睓
butbo 矇
butk 眹
butkr 睰
butlb 瞞
butmb 瞒
butoe 矆
butq 眻
butrg 矔
butw 瞄
butwu 矒
buvf 県
buvfb 矊
buvis 眑
buvml 鼎
buvmn 鼎
buvne 睩
buwd 睏
buybk 瞮
buybp 矓
buyfd 瞇
buyhs 眆
buyhv 褜
buyk 盿
buymp 眦
buyoj 睟
buypt 矑
buyrl 瞓
buytg 瞳
buytj 瞕
buyub 瞝
buyv 盳
buyvi 眩
bv 妥
bvhl 膷
bvik 奚
bvno 腞
bvpym 鹦
bvvv 臘
bvvw 腦
bwd 腂
bwim 膕
bwk 胭
bwl 胛
bwlb 腢
bwli 爵
bwmi 腘
bwp 腮
by 丹
byav 腿
bybb 膼
bybr 膪
bybs 膀
byck 胶
byhhh 彤
byhn 肮
byhr 膇
byhs 肪
byia 膱
byij 膟
bykb 膸
bykl 脐
bylb 肺
bymy 胩
byoj 脺
byok 腋
bypo 臄
bypt 臚
byrn 脝
bys 胪
bysm 写
bytoe 雘
bytp 臆
byuk 脑
byvg 臃
byvi 胘
byvo 胲
bywm 膻
byx 臍
c 金
ca 鈤
cahm 鍟
cahu 鎇
camh 鍚
camj 銲
camo 鍉
camvn 甑
cana 鐧
canb 鐗
canl 鄫
cant 鐦
caph 錫
cate 鑤
cav 銀
cbb 錋
cbbe 鑀
cbbm 銏
cbbr 鍋
cbcn 鍘
cbgr 錭
cbm 鉏
cbme 鍰
cbmr 銅
cbms 鋤
cbsd 錚
cbt 銏
cbtu 鋼
cbuc 鋇
cbue 钁
cbug 鑺
cbul 鐤
cbuu 鋧
cc 鍂
ccc 鑫
cci 鈆
ccor 鋊
ccr 鉛
ccru 銳
ccsh 鈖
ccwa 鏳
cddq 鑻
cdk 鈌
cdlo 鏉
cdmq 鍏
cdw 錬
cdwf 鍊
cea 錔
ceah 鐋
ceee 錣
cfb 銷
cfbc 鎖
cfbd 鏿
cfbf 钂
cfbg 鏜
cfbq 鐣
cfbr 鋿
cfbu 鎲
cfd 銤
cfdq 鏻
cff 錟
cffd 鑅
cfmu 銧
cfq 鉡
cfqu 錈
cgce 錂
cgg 銈
cgni 鑄
cgp 鋕
cgr 銡
cgwc 鑟
chab 錦
chag 鍠
chbe 鎫
chbk 鐭
chbr 銄
chd 鉌
chdf 鍬
chdp 鏭
chdu 鋵
chdv 錗
chdw 鐇
chej 鋒
chg 鈓
chgr 鋯
chgu 銑
chhaf 鳻
chhh 釤
chjd 銖
chje 鍛
chjg 鍾
chjr 銛
chju 鍎
chjx 鍤
chkb 鐈
chlc 鑕
chln 剃
chlo 釽
chmbc 頒
chmbo 颁
chml 釿
chmr 銗
chn 釠
chne 鈠
chni 釩
chnl 邠
chnr 鉛
choo 鏦
chpa 錉
chpr 銽
chpym 鹈
chqo 鉄
chs 鈩
chsm 䥇
chuc 鑽
chud 鎳
chup 鎴
chvo 鈲
chwj 錍
chxe 鎪
ci 公
cibi 鎛
cifm 鎺
cihf 鏚
cihm 銊
cihq 鉾
cihr 鍼
cihu 鈗
cii 錢
ciil 鎯
cijb 鋪
cijc 鉥
cije 銶
cike 鈸
cikk 鈸
cill 銂
cimbc 頌
cimbo 颂
cimn 瓮
cine 銢
cipf 鑣
cipm 鉽
cipp 鋱
cir 鈶
cis 鈩
cism 翁
cism 䥇
citc 鐮
cite 鍍
citf 鏣
cixp 鏕
cj 針
cjbc 鎮
cjbd 鋍
cjbf 鎍
cjcr 鎔
cje 鈘
cjig 鐵
cjii 鏄
cjip 鏸
cjkd 﨧
cjki 鋐
cjmf 錝
cjmo 錠
cjmu 鋎
cjnl 郸
cjnu 鋺
cjqr 鎋
cjr 鈷
cjrb 鍸
cjrr 錧
cjru 鋴
cjstv 冁
cjto 鑳
ck 父
ckau 爸
ckcf 鐐
ckhml 斧
cklb 鈽
ckld 銌
ckmgc 釜
ckmr 錡
ckms 銙
ckn 銕
cknin 爹
cks 釛
cksl 爷
cl 丫
clbu 鈂
clk 鉂
cllv 鏤
clmc 鐀
clmo 銚
cln 釗
clnc 鐨
clq 銉
clw 鈾
clx 鏽
cm 釭
cma 銆
cmbb 鑐
cmbc 顉
cmbw 鐳
cmd 釪
cmfe 鋄
cmfj 銔
cmfm 鉟
cmgi 鈺
cmhaf 鶲
cmig 銍
cmj 釬
cmjj 銒
cmlm 錏
cmme 銢
cmmu 鈨
cmmv 鋠
cmn 釘
cmnr 鈳
cmob 鈵
cmpm 錻
cmpym 鹟
cmr 鉐
cmrb 鎘
cmrr 鎶
cmrt 鋀
cmrw 鍢
cmsu 鈪
cmt 鈃
cmtn 鉶
cmto 鐝
cmua 鐕
cmvs 兮
cmwf 鏢
cmym 鉦
cmys 鈣
cn 釔
cnau 銫
cnf 鉨
cng 鈕
cnhb 鐍
cnhe 鈒
cnhs 釢
cni 釸
cnib 銿
cnii 鏹
cnin 鉹
cnir 銘
cnkm 鋋
cnkq 鍵
cnl 鈏
cnlh 弟
cnme 録
cnn 釕
cnok 鍨
cnri 鑱
cnsd 錚
coae 鍑
cob 鈉
cod 銝
cog 錐
cogf 鐎
cogs 鐫
cohg 銋
cohh 鉁
coii 鈴
coir 鎗
cok 鉃
colmi 螸
comb 鑰
comc 鋲
comg 銓
comn 鍮
con 釳
conk 鍭
cor 谷
corq 鎿
cos 鈼
cowy 鋂
cpbc 鎭
cph 鉍
cpi 釣
cpou 鋾
cpp 鈚
cpr 鉤
cptd 鍱
cpu 鈍
cpyr 鍧
cqd 銇
cqhk 鍥
cqjm 鏏
cqjs 鏏
cqmb 錆
cqo 鈇
cqoa 鐟
cr 釦
crb 鋗
crbvk 豀
crhaf 鵒
crjcm 谾
crki 谹
crlr 鈻
crmjk 豃
crmk 鋘
crmr 鏴
crmvh 谺
crnjk 豃
crnl 郤
crno 欲
crnq 谻
croir 谽
crp 总
crpym 鹆
crrd 鐰
crrs 鍔
crse 鍜
crsj 鍓
crsmh 豂
crtc 谼
cruc 鐉
crvk 鋘
crvp 鈱
cryo 鋜
csei 钃
csh 分
cshc 貧
cshg 坌
csho 贫
cshp 忿
csht 盆
cshu 岔
csit 鑑
csiu 鑬
csje 鋷
csjj 鑷
csjl 鎁
csjr 鋸
cslb 鉔
csme 鋟
csmh 鏐
csmi 鐞
csmt 鑑
csmv 鋹
csp 鈮
csqf 鎷
csrj 鐴
csrr 鏂
css 鉅
cta 錯
ctak 鏌
ctaw 钄
ctbk 鏾
ctc 鉷
ctca 鐠
ctcl 鐁
ctct 鎰
ctei 鑮
ctgt 鑉
ctkr 鍩
ctlb 鏋
ctlc 鐄
ctmv 鍖
ctoe 鑊
ctor 鎝
ctpd 鐷
ctrg 鑵
ctsr 鍣
ctt 鉼
cttr 鐥
ctvi 鎡
ctw 錨
ctwi 鐏
ctxc 鎌
cu 釓
cubb 鏰
cuce 鍐
culb 銟
cuob 鑴
cuu 鈯
cvfr 鐑
cvif 銯
cvii 鐖
cvmi 鏘
cvne 錄
cvvc 鎻
cvvd 鏁
cw 鈿
cwa 曾
cwg 鋰
cwj 单
cwjc 鏆
cwk 銦
cwl 鉀
cwlb 鍝
cwli 鐲
cwlj 鐸
cwlv 鐶
cwmr 兽
cwvf 鏍
cwwg 鑸
cwww 鑘
cwyi 鉧
cy 釙
cyaj 鋽
cybb 鍗
cybc 鍞
cybk 钀
cybp 鑨
cydk 鐓
cye 鈙
cyhj 鏠
cyhm 鏟
cyhn 鈧
cyhr 鎚
cyhv 銥
cyib 錥
cyjj 鏈
cyk 鈫
cykm 鏟
cylb 鈰
cymh 鐬
cymu 鑡
cypd 鏬
cypo 鐻
cypp 鑢
cypq 鎼
cypt 鑪
cyrd 錞
cyrv 鑲
cysd 鍦
cysk 鏃
cyso 鏇
cyt 鉝
cytg 鐘
cytj 鋅
cyto 鐩
cytp 鐿
cytr 錇
cytu 鏡
cyv 釯
d 木
da 杳
dahu 楣
daiu 概
dam 查
dapp 棍
dasm 榻
dau 杷
dav 根
dbb 棚
dbbm 栅
dbdb 棘
dbhu 枧
dbk 㭎
dbln 刺
dbmr 桐
dbnd 桴
dbov 樱
dbu 相
dby 枣
dci 松
dcnh 梯
dd 林
ddam 楂
ddbuh 鬱
ddc 鐢
ddcsh 棼
ddd 森
ddf 焚
ddh 材
ddhh 彬
ddhni 梵
ddi 村
ddixp 麓
ddk 樊
ddkli 蠜
ddkq 攀
ddmmf 禁
ddni 梦
ddnl 郴
ddnyo 楚
ddp 懋
ddv 婪
ddwf 楝
de 权
dedi 树
defh 桫
deg 柽
dei 杈
dembc 頗
dembo 颇
df 杰
dfb 梢
dfbg 樘
dfcq 榉
dfdv 楼
dfh 杪
dfle 隸
dfmu 桄
dfsm 档
dg 杜
dgce 棱
dgcw 樯
dgg 桂
dgov 樾
dgr 桔
dh 才
dha 柏
dhab 棉
dhbul 鼒
dhdf 楸
dhe 皮
dher 格
dhgr 梏
dhhh 杉
dhhi 榭
dhhl 柳
dhhw 榴
dhjd 株
dhje 椴
dhjm 棰
dhjr 栝
dhkl 桥
dhml 析
dhmy 柝
dhn 机
dhnk 枫
dhon 桁
dhpm 柢
dhsk 檄
dhui 槐
dhuu 橇
dhvd 栎
dhvi 柢
dhx 桕
di 寸
dice 梭
dig 桩
dihf 槭
diil 榔
dij 栈
dikp 栊
dit 械
diva 槠
dj 末
djbf 檫
djbj 楠
djbm 植
djcr 榕
djcs 榨
dje 枝
djk 杖
djka 楮
djkp 栳
djks 栲
djmf 棕
djmm 楦
djmn 柠
djnk 椟
djoc 槟
djp 柁
djr 枯
djrr 棺
djv 桉
dkd 栋
dkhaf 鴂
dkhaf 鷘
dkmr 椅
dkmym 整
dksr 枷
dl 束
dlbu 枕
dle 棣
dlha 皙
dlhaf 鵣
dlii 螙
dlit 槛
dliu 榄
dlksf 鶒
dllmi 蜤
dlln 剌
dlmbc 頼
dlmo 桃
dlnbc 賴
dlnbo 赖
dlok 敕
dlshc 賴
dlsr 榈
dlw 柚
dlytj 辢
dm 本
dmam 桓
dmbs 樗
dmbw 檑
dmcw 栖
dmf 杯
dmfj 枰
dmg 枉
dmig 桎
dmj 杆
dmjk 橄
dmks 枥
dmlk 梗
dmmf 标
dmmr 梧
dmnr 柯
dmob 柄
dmr 柘
dmsmm 翉
dmtc 桠
dmto 橛
dmu 杌
dmvs 朽
dmvvq 舝
dnao 橡
dnbg 桷
dnbj 槲
dncr 檐
dnd 李
dnhb 橘
dnhe 极
dnib 桶
dnjk 橄
dnkg 梃
dnkq 楗
dnmu 桅
dnot 橙
dnsh 杨
dnst 楹
dnvm 杩
dob 枘
dobg 榷
dobuc 賚
dog 椎
dogf 樵
dogj 榫
dohaf 鶆
doii 柃
doj 杵
dok 枚
domg 栓
domi 桧
domm 检
domn 榆
donl 郲
dopj 桦
dos 柞
dosu 枪
dowy 梅
doyb 檎
dpi 杓
dpm 杓
dpo 枨
dpp 枇
dppa 楷
dpr 枸
dqbjj 韗
dqdj 韎
dqfb 韒
dqgwc 韥
dqhaj 韟
dqhk 楔
dqike 韍
dqikk 韍
dqjl 梆
dqka 椿
dqkd 榛
dqkk 楱
dqkq 棒
dqomr 韐
dqptd 韘
dqshi 韌
dqsmv 韔
dqtmj 韡
dqttb 韝
dqwli 韣
dqwtj 韠
dr 杏
drc 枳
drms 枵
drrr 榀
drsj 楫
dseq 樨
dsfb 榍
dsjl 椰
dsjr 椐
dsk 枢
dsly 榧
dsmf 棂
dsmm 栩
dsno 柩
dsobo 膥
dss 柜
dsu 杞
dt 来
dtak 模
dtbo 檬
dtlc 横
dtlm 槿
dtm 柑
dtmc 棋
dtmm 栏
dtmv 椹
dtq 样
dtqm 槎
dtsl 栉
dtwa 槽
dtwi 樽
du 札
dulmi 蚻
dup 想
dusu 桤
duvif 紮
dvmo 橼
dvno 椽
dwd 棵
dwf 柬
dwhaf 鶇
dwhaf 鶫
dwl 柙
dwln 椤
dwls 楞
dy 朴
dyaj 棹
dybo 桢
dybs 榜
dyck 校
dyfe 椒
dyg 柱
dyhn 杭
dyhr 槌
dyhs 枋
dyiu 梳
dylb 柿
dyrb 槁
dyrd 椁
dyrf 椋
dys 栌
dytd 榇
dytj 樟
dyvo 核
dywf 檩
dywm 檀
e 水
ea 汨
eabt 温
eafo 灏
eag 涅
eahu 湄
eaiu 溉
eapp 混
eapv 渴
easm 溻
eatc 湿
eate 瀑
eav 艰
eawe 漫
ebac 溟
ebau 淝
ebbb 滑
ebcd 深
ebhg 淫
ebhn 沉
ebhu 观
ebhx 滔
ebkf 鸂
ebkq 浑
ebm 沮
ebmr 洞
ebnd 浮
eboj 溅
ebon 测
ebu 泪
ebuh 渺
ebvk 溪
ebym 泻
ec 淦
ecc 鍙
ecd 梁
ecfd 粱
eckc 滏
ecnh 涕
ecor 浴
ecr 沿
ecsh 汾
ecst 湓
ed 沐
edam 渣
edbt 盓
edbu 湘
edci 淞
edd 淋
eddb 潸
eddv 漤
edhe 波
edhl 淅
edi 对
edj 沫
edl 涑
edlo 濑
edmbc 顙
edmbo 颡
edoe 漆
edt 涞
ee 汉
eec 錃
eee 淼
eeed 桑
eeeef 鵽
eeem 叠
eei 汊
eemr 碆
eeog 滩
eeq 泽
eev 婆
efb 消
efbr 淌
efdc 瀵
eff 淡
efh 沙
efq 泮
eg 圣
egg 洼
egi 法
egit 溘
egmbc 頚
egr 洁
egth 澎
egti 澍
eha 泊
ehag 湟
ehbk 澳
ehbt 洫
ehbu 洎
ehbv 浓
ehdb 潲
ehdf 湫
ehdw 潘
ehed 涤
eheq 洚
eher 洛
ehgr 浩
ehgu 洗
ehhl 泖
ehhu 滗
ehhv 派
ehhw 溜
ehio 泛
ehjd 洙
ehjr 活
ehk 沃
ehkp 添
ehml 沂
ehne 没
ehnr 沿
ehnwf 鯊
ehnwm 鲨
ehq 挲
ehqj 湃
ehs 沪
ehsk 激
ehuk 溴
ehul 濞
ehv 娑
ehvd 泺
ehxe 溲
ehyhv 裟
ei 戏
eiav 浪
eibi 溥
eice 浚
eid 梁
eifd 粱
eij 浅
eijb 浦
eijc 沭
eikh 渗
eikp 泷
eiks 沩
eill 洲
eilmi 蚤
eilr 溏
eine 泳
eip 怼
eir 治
eis 沪
eite 渡
eive 泼
eivj 浒
eixp 漉
ej 汁
ejb 沛
ejbc 滇
ejcr 溶
